ins_code;local;puesto;cliente
48;Cementerio General ;puesto 1;jbgye
53;RECREACIONAL SUR;puesto 1;jbgye
64;CHAM;puesto 1;jbgye
77;CIUDAD DEPORTIVA;puesto 1;jbgye
55;C.C.TERMINAL;puesto 1;jbgye
51;CONDOMINIO AROSEMENA;puesto 1;jbgye
63;GARZOCENTRO;puesto 1;jbgye
49;HOGAR CORAZON DE JESUS;puesto 1;jbgye
72;JBGYE HOSPITAL LUIS VERNAZA;ELIMINAR;
57;JBGYE INC;ELIMINAR;
79;OFICINA CENTRAL;puesto 1;jbgye
52;JBGYE PANTEON METROPOLITANO;PANTEON METROPOLITANO;
70;PLAZA CEIBOS;puesto 1;jbgye
74;PLAZA ORELLANA;puesto 1;jbgye
78;U.E DOMINGO DE SANTISTEVAN;puesto 1;jbgye
76;U.E MERCEDES CALDERON;puesto 1;jbgye
54;JBGYE U.E SANTA LUISA MARILLAC;LUISA MARILLAC;jbgye
34;LA FABRIL AMBATO;AMBATO;la fabril
93;LA FABRIL GARITA BASCULA;GARITA BASCULA;la fabril
26;LA FABRIL GARITA DETERGENTE 2;GARITA DETERGENTE 2;la fabril
35;LA FABRIL IBARRA;FABRIL IBARRA;la fabril
27;LA FABRIL LA CONDESA;LA CONDESA;la fabril
89;LA FABRIL MANTA GARITA PRINCIPAL;GARITA PRINCIPAL;la fabril
25;LA FABRIL PESCA MANABITA;PESCA MANABITA;la fabril
36;LA FABRIL QUITO;FABRIL QUITO;la fabril
23;LA FABRIL RESIDENCIA VIA AEROPUERTO;VIA AEROPUERTO;la fabril
37;LA FABRIL STO. DOMINGO;STO. DOMINGO;la fabril
24;LA FABRIL TRANSMONSERRATE;FABRIL TRANSMONSERRATE;la fabril
46;LATAM-ATO-BALTRA;ELIMINAR;
39;LATAM-ATO-GYE;ELIMINAR;
40;LATAM-ATO-SAN CRISTOBAL;ELIMINAR;
28;PDS PORTOVIEJO;puesto 1;loteria
67;oficina Matriz;puesto 1;loteria
96;MASAIR ATO UIO;ATO UIO;masair
22;Oficina Garzota;garita;tpg
120;Panteon Metropolitano Via a la Costa;Garita Principal;jbgye
129;Hospital Alfredo Paulson;Parqueadero;jbgye
158;PDS 9 OCT BOULEVARD;puesto 1;loteria
157;PDS BOYACa;puesto 1;loteria
159;PDS CHILE Y LUQUE;puesto 1;loteria
119;Plaza Ceibos;Cerca de las Escaleras;jbgye
127;PDS Albotec;puesto 1;loteria
62;QATAR-ATO-QUITO;puesto 1;QATAR
149;CASA DEL DR. ISLA MOCOLI;ISLA MOCOLI;semedic
82;SWISSPORT CARGA;CARGA;SWISSPORT
83;SWISSPORT COURIER;COURIER;SWISSPORT
80;SWISSPORT MATRIZ;MATRIZ;SWISSPORT
61;SWISSPORT MONITOREO;MONITOREO;SWISSPORT
81;SWISSPORT ZONA TRANSFERENCIA;ZONA TRANSFERENCIA;SWISSPORT
85;TOTAL SECURITY GYE;GARITA 1;TPG
86;TOTAL SECURITY UIO;SECURITY UIO;TPG
87;U.E. FREIRE STABILE;puesto 1;jbgye
88;U.E. NARCISA DE JESUS;puesto 1;jbgye
160;UNIDAD EDUCATIVA INMACULADA CONCEPCIÓN;puesto 1;jbgye
